ma_id,bandgap
ma-002a55,4.711107
ma-67c91e,4.935341
ma-502b1f,4.998854
ma-e183e4,4.131129
ma-ecde1f,4.935057
ma-9a018a,4.711474
ma-3c0781,4.991089
ma-d415f0,3.502988
ma-246e36,3.690381
ma-de6326,4.909725
ma-34cdd3,4.2495
ma-a97741,0.007862
ma-d19b99,4.93139
ma-891776,4.931016
ma-9683d5,4.929709
ma-8976e1,4.204795
ma-133538,4.302091
ma-3fb252,4.36033
ma-f5e36c,3.492642
ma-7f43f8,4.899222
ma-d6683b,4.931438
ma-d3fa38,4.032257
ma-6b23df,4.928652
ma-68082c,4.852198
ma-8d2692,4.934699
ma-aa517e,4.899835
ma-f2366b,4.058191
ma-275197,4.766368
ma-3e4b7b,4.906389
ma-f588d7,3.48191
ma-56ed05,4.267506
ma-ac9065,4.013013
ma-7cad91,4.93292
ma-94cc53,4.060478
ma-3c5664,4.898863
ma-c3d684,4.8933
ma-34ccee,3.568947
ma-de2721,0.008588
ma-68f621,4.908201
ma-ab75cf,4.901416
ma-0479cd,3.48973
ma-c603df,3.943579
ma-32305e,3.715568
ma-b833a6,4.53183
ma-9010a4,4.852286
ma-971c82,4.869855
ma-ca5ab8,4.062563
ma-6e9658,4.929758
ma-962687,4.245939
ma-dc04a8,4.692634
ma-c1c49e,4.106722
ma-b55200,4.933264
ma-abce8f,4.927805
ma-974d15,4.934271
ma-92c907,4.108551
ma-248c3f,3.521182
ma-0d1a82,3.712311
ma-586417,3.756325
ma-19d467,4.696107
ma-fd2424,4.918235
ma-c3b0f6,5.74285
ma-01f1ab,4.389815
ma-5a9147,3.280416
ma-d4bb9f,4.878887
ma-cb3094,4.690078
ma-43bda9,4.907204
ma-b8600c,4.6911
ma-22a681,4.921596
ma-a3766c,4.34736
ma-cd8cf8,3.694913
ma-696e75,4.371619
ma-f2726f,4.920948
ma-48cda3,4.919875
ma-5363a4,4.928676
ma-08f499,5.913588
ma-cbcb04,4.334029
ma-741014,4.076168
ma-37559f,4.943602
ma-8ceab2,3.959941
ma-fd658c,4.926819
ma-48da59,4.899116
ma-fe5277,5.771204
ma-65fa11,4.493523
ma-95b7c1,4.067109
ma-8e96bf,4.921377
ma-642f3b,4.884136
ma-35089c,3.892283
ma-aa088c,4.713212
ma-4d2c65,4.340869
ma-35f452,4.742242
ma-3a7ea6,3.300137
ma-5e95ce,2.958357
ma-e10f77,4.9177
ma-3dd822,3.836822
ma-8b70ae,3.950633
ma-b2805d,3.974719
ma-b08262,3.856981
ma-b48c03,3.121956
ma-0e75df,4.143103
ma-ae8e52,4.471018
ma-7a7628,4.074545
ma-7a3af5,3.71379
ma-c89e41,3.990272
ma-92f328,3.679693
ma-9c9c62,4.386823
ma-47b5c6,4.773818
ma-fb969f,3.875618
ma-fa8ac4,4.533231
ma-08a63f,3.726225
ma-4e7f84,3.595887
ma-e837eb,4.936463
ma-369b15,3.976797
ma-840584,4.070737
ma-5ee9ce,4.353637
ma-21e2ce,4.575926
ma-9a7e77,4.941122
ma-3c8a30,3.431363
ma-5d128d,4.488777
ma-81ff8c,4.837808
ma-04fac9,4.930586
ma-7eed33,4.761901
ma-7cbc6d,3.485531
ma-5671df,4.915856
ma-0fb689,3.765681
ma-083f1d,3.487596
ma-2f0ce4,4.917093
ma-23cb3e,4.534818
ma-53a0fe,4.693256
ma-ee72cf,3.736903
ma-265554,4.504024
ma-b1d5b5,4.846928
ma-975567,4.22833
ma-b423c6,4.712323
ma-30c5d4,3.573871
ma-d68021,4.706242
ma-3bc50d,4.705782
ma-1c56bb,4.843635
ma-2d4bd9,4.737827
ma-2010a2,3.755383
ma-eb6d12,3.493484
ma-284f55,4.638587
ma-d3e5d3,4.755453
ma-d0d040,4.53395
ma-d81613,3.83146
ma-b41a29,4.782053
ma-68cec9,4.88663
ma-726677,3.556035
ma-5d635c,4.92957
ma-fd0fa7,3.762383
ma-f402e1,3.571274
ma-d03d17,4.51416
ma-e87798,4.131379
ma-cfd37f,3.573645
ma-b00cce,3.037435
ma-5c233b,4.250833
ma-155768,3.483938
ma-5c865e,3.511918
ma-12bf66,3.763432
ma-ce8a54,4.923834
ma-b65a96,3.596128
ma-ba1191,4.935747
ma-7b4a2c,4.501841
