ma_id,bandgap
ma-0ddeca,1.035888
ma-2d70ba,1.790466
ma-00e66c,0.968337
ma-0f96fe,3.056106
ma-76990f,0.029612
ma-054552,2.033726
ma-d553c1,1.468918
ma-89f21f,2.100821
ma-dd9c07,3.66511
ma-829be5,1.987618
ma-682d72,0.00356
ma-c6f554,3.418143
ma-56cabb,2.177273
ma-9b3e53,0.165114
ma-39b7d2,0.06567
ma-6c7a19,0.172793
ma-b62edb,2.019218
ma-46ebe4,0.166133
ma-084809,0.016523
ma-9edc30,0.802021
ma-073898,0.043877
ma-473115,1.12593
ma-54e5bb,1.462133
ma-57ca5f,0.017937
ma-ddb424,1.29516
ma-fd0927,4.660761
ma-3db0a0,0.026996
ma-7ea9d3,3.075475
ma-1849fd,1.590324
ma-59c685,3.521166
ma-3e8060,0.86709
ma-026792,0.123638
ma-a75253,1.5742
ma-33bd67,4.488859
ma-69b316,4.36433
ma-9c216c,1.599194
ma-475c02,3.543032
ma-6a40cb,2.111955
ma-46d1ea,0.941794
ma-c68f06,2.172684
ma-042f62,1.179937
ma-b2d807,1.62925
ma-d6ce8c,2.140644
ma-63ef93,1.852759
ma-41df54,0.033826
ma-8eda82,0.004438
ma-d31599,0.10298
ma-e793fe,1.214176
ma-2c2516,0.064255
ma-d1a463,1.116927
ma-22057e,0.050017
ma-772357,4.303002
ma-a18fc2,5.103323
ma-e8f08e,5.493476
ma-c49cec,2.737919
ma-c8f51e,3.029162
ma-b19821,0.063487
ma-d961a4,2.754376
ma-a484d3,2.72086
ma-3920b3,0.011975
ma-431db3,4.917577
ma-6eb1c7,0.748522
ma-f77e64,5.911329
ma-ca5958,0.547761
ma-364bcc,1.04738
ma-2fbc07,0.013529
ma-2f2c4f,3.383924
ma-96fa3d,0.043926
ma-90c6f0,1.058921
ma-394e88,1.908965
ma-c1f5b9,0.015979
ma-70b4b3,0.022518
ma-e77564,0.239
ma-c47191,0.060799
ma-018767,2.764882
ma-6bfbdd,2.799935
ma-fcba6b,0.036386
ma-6856aa,0.071144
ma-68f5c3,0.008381
ma-e7307b,0.079022
ma-3b9963,0.49442
ma-aca91e,0.696871
ma-f74cc1,3.424027
ma-d10c7a,3.432794
ma-43b74b,0.035121
ma-718e75,1.359067
ma-2a079b,1.601767
ma-d74414,0.022238
ma-55b1d5,0.614498
ma-4bfae4,0.150945
ma-445d61,2.516114
ma-baefe8,1.832104
ma-9e33e1,0.012598
ma-14a87a,0.021829
ma-2148de,0.000736
ma-f7ac89,0.016076
ma-5927fa,0.554585
ma-f9870d,0.087534
ma-5c637a,0.61935
ma-d80ecd,0.010027
ma-6086cd,0.025104
ma-b4fc34,0.017185
ma-bf657c,1.193627
ma-e74c2e,0.786149
ma-23c69c,2.642554
ma-3c1e23,1.459788
ma-45b5b6,3.950519
ma-c8d753,0.042836
ma-92b95b,6.167374
ma-06a643,2.977986
ma-22378c,1.842038
ma-c54a6f,0.718343
ma-57b4b0,0.09473
ma-8c3465,2.342124
ma-1ae21b,4.248607
