ma_id,formula,Eh
ma-80ed28,LiBr,-0.003672365
ma-b29c2e,LiI,-0.003061147
ma-f67b52,LiBr,-0.002631228
ma-47039a,LiBr,-0.002588513
ma-914df9,LiBr,-0.002345151
ma-209014,LiBr,-0.002241988
ma-825c08,LiBr,-0.002092491
ma-e6159e,LiI,-0.001831118
ma-f92dc4,LiBr,-0.00173561
ma-fd7f37,LiBr,-0.001709449
ma-7e7e4b,LiBr,-0.001576281
ma-d88367,LiBr,-0.001557631
ma-239c3a,LiBr,-0.001521164
ma-d08fca,LiBr,-0.001512554
ma-689174,NaI,-0.001331393
ma-84ecdd,LiBr,-0.001162716
ma-f66843,LiBr,-0.001159323
ma-94ee2b,LiBr,-0.001077451
ma-e8d98d,NaI,-0.000863176
ma-9c9d3b,LiBr,-0.000839349
ma-930360,KI,-0.000819378
ma-143eda,NaI,-0.000797602
ma-c5f9cb,NaI,-0.000781422
ma-614556,KI,-0.000761811
ma-e13213,NaI,-0.000761103
ma-4e6ac4,KI,-0.000756178
ma-012227,NaI,-0.000754465
ma-5c8262,LiI,-0.000749109
ma-b356cb,NaI,-0.000746153
ma-d7a6eb,NaI,-0.000737437
ma-8838f9,NaI,-0.00070439
ma-61daf3,NaI,-0.000698601
ma-d08614,KI,-0.000693591
ma-4ac816,NaI,-0.000672741
ma-c8cf7e,NaI,-0.00066639
ma-490ac0,LiBr,-0.000660421
ma-3a02d3,LiBr,-0.000611081
ma-107aba,KI,-0.000603493
ma-f23776,NaI,-0.000598939
ma-ae92d2,NaI,-0.000577943
ma-e18e16,KI,-0.000574591
ma-895c44,NaI,-0.000571935
ma-4dd5eb,LiBr,-0.000569616
ma-d86f4d,KI,-0.000568901
ma-f73f3b,NaCl,-0.000557952
ma-63d467,NaI,-0.000536008
ma-d58325,KI,-0.0005262
ma-96ab28,NaCl,-0.000515183
ma-6dfd4e,NaI,-0.000508543
ma-a7dd62,KI,-0.00050116
ma-e86df8,NaI,-0.000499621
ma-06e226,NaCl,-0.000481331
ma-96947b,NaI,-0.000473631
ma-705205,KI,-0.000456011
ma-3323ec,LiBr,-0.000455291
ma-53491f,NaI,-0.000439391
ma-21a8e7,KBr,-0.000436903
ma-b37d6e,NaI,-0.000414539
ma-81bfd1,NaI,-0.000407461
ma-02e30d,NaI,-0.000386298
ma-8d9601,NaI,-0.000381028
ma-34aa85,NaI,-0.000376783
ma-01f1ab,LiI,-0.000370337
ma-641bd0,NaI,-0.000354533
ma-25e30d,KI,-0.000345134
ma-cef3fe,KI,-0.000339175
ma-ba6a1e,LiBr,-0.000331663
ma-d4c153,NaI,-0.000291685
ma-3ca363,LiBr,-0.000284475
ma-162010,KI,-0.000266634
ma-fa6468,NaI,-0.000261461
ma-9a11b0,NaBr,-0.000260173
ma-92bb42,NaI,-0.000244387
ma-83d4e1,KI,-0.000241544
ma-e17ec7,KI,-0.000239961
ma-0f12ba,KI,-0.000227549
ma-f402e1,NaI,-0.00017228
ma-e07a2c,NaBr,-0.000169381
ma-04c6a0,NaBr,-0.000162574
ma-3f7965,NaBr,-0.000133244
ma-d5547e,KBr,-0.00012031
ma-c50306,NaI,-0.000113401
ma-f52309,NaBr,-0.000104709
ma-d8e736,KI,-0.000101303
ma-219a5c,KI,-9.56E-05
ma-b6fb2b,KI,-9.27E-05
ma-7abf38,NaBr,-7.56E-05
ma-c286db,NaI,-7.23E-05
ma-abc63c,NaI,-6.21E-05
ma-29947e,LiI,-5.71E-05
ma-95b7c1,NaBr,-5.63E-06
ma-5e1fa4,NaBr,3.19E-06
ma-9f69b6,NaI,2.32E-05
ma-406d99,NaBr,4.19E-05
ma-f1309e,LiI,4.29E-05
ma-66e658,KI,5.75E-05
ma-4572b3,NaI,6.28E-05
ma-ca5ab8,NaBr,7.23E-05
ma-2a4f16,KI,7.61E-05
ma-208465,KI,0.000113556
ma-fef379,NaI,0.000134188
ma-d1fe6c,NaI,0.000142442
ma-ca12ae,NaBr,0.000144
ma-f95510,NaI,0.000156314
ma-598dc2,LiBr,0.000184975
ma-25d32b,NaCl,0.000214447
ma-72946c,KI,0.000238387
ma-f2366b,NaBr,0.000251825
ma-f5122b,NaI,0.000254871
ma-16807c,KI,0.000259649
ma-f252df,KI,0.00026098
ma-b9eba2,KI,0.000283857
ma-00d635,KBr,0.000283931
ma-449113,KI,0.000290415
ma-fb9c94,KI,0.000335241
ma-30c5d4,NaI,0.000385717
ma-565cf2,NaCl,0.000397517
ma-fe1882,LiI,0.00041783
ma-71d020,NaI,0.000434934
ma-54fe11,LiBr,0.000439326
ma-7eba56,LiI,0.000449039
ma-d356f4,NaI,0.000456534
ma-5dfc35,NaI,0.000467184
ma-368848,KI,0.000467709
ma-26fac2,NaCl,0.000475189
ma-294f46,NaI,0.000486249
ma-63c764,LiBr,0.000499365
ma-7ae87c,KI,0.000525381
ma-6892d6,KI,0.000532629
ma-67ade0,KCl,0.000534241
ma-b0cc86,NaI,0.000564065
ma-2699d0,NaCl,0.00058776
ma-d65716,NaCl,0.000702036
ma-5ee9ce,LiI,0.000706357
ma-aa0c17,KI,0.000732607
ma-be3c8c,NaBr,0.000737124
ma-e72e5f,KI,0.000772731
ma-04c40e,NaI,0.000795149
ma-972b8c,KBr,0.000815987
ma-a72021,KI,0.000825677
ma-e0969b,KI,0.000832045
ma-ff77d9,NaI,0.000839447
ma-cfd37f,NaI,0.000859329
ma-28bb0b,NaCl,0.000881139
ma-b5c445,NaI,0.00092328
ma-d8afd2,NaI,0.000924186
ma-4fbce4,KI,0.000951531
ma-958992,LiBr,0.00098094
ma-fa1516,LiBr,0.000993069
ma-63b1fc,KBr,0.00100175
ma-cc3e96,NaCl,0.001026025
ma-2652e1,KI,0.001028535
ma-c38c12,NaBr,0.001094251
ma-276bc2,NaI,0.001095412
ma-e842fa,NaI,0.001108519
ma-bd3311,KI,0.001120154
ma-357ba7,NaI,0.001127669
ma-1e1ba8,LiBr,0.001132565
ma-277272,LiBr,0.00114192
ma-30fad1,KI,0.001143255
ma-e3ac11,NaBr,0.001146994
ma-76528e,LiBr,0.001174725
ma-2032f8,LiBr,0.00117994
ma-26041f,NaBr,0.001190591
ma-1dbcb1,NaI,0.001197341
ma-1ee877,KI,0.001311241
ma-b460ea,NaI,0.001319627
ma-9aed44,KI,0.00133568
ma-38a6b5,KI,0.001401875
ma-5697f3,NaBr,0.001415286
ma-9175c0,NaI,0.00141872
ma-ed5561,NaI,0.00143135
ma-f6ac1a,KI,0.001442924
ma-bf6cbf,NaI,0.001454937
ma-bc6da2,KI,0.001468504
ma-d81613,KI,0.001478435
ma-39942e,KI,0.00151448
ma-29c4e1,KI,0.001517422
ma-6189ca,NaI,0.001536395
ma-f8fa92,NaI,0.001597736
ma-6a38cb,LiBr,0.00162543
ma-34ccee,NaI,0.001652532
ma-16eb40,NaBr,0.001664227
ma-5e79c1,NaI,0.001710485
ma-0700fe,LiBr,0.001725887
ma-762ef2,LiBr,0.001741267
ma-4f11bb,LiBr,0.001760362
ma-2131e0,LiBr,0.001852819
ma-896e69,LiBr,0.001878567
ma-9f202c,KI,0.001890797
ma-be7a80,KI,0.001929145
ma-0bfb9d,LiBr,0.001940728
ma-a2e95d,LiBr,0.001945711
ma-94cc53,NaBr,0.001965735
ma-6a9ed8,LiBr,0.002001776
ma-264c3e,KI,0.002020945
ma-4fe546,KI,0.0020249
ma-04806a,LiBr,0.002028748
ma-7d0308,KBr,0.002037824
ma-21409b,NaBr,0.002058876
ma-395557,NaCl,0.002061918
ma-aa5627,LiBr,0.00210795
ma-cd259f,KI,0.002171885
ma-801a08,NaI,0.00218728
ma-da8352,NaI,0.002213467
ma-5961fc,NaI,0.002249457
ma-714aed,KI,0.002264836
ma-6c3341,KI,0.002290709
ma-31dd3f,LiBr,0.002312747
ma-c6aaee,KI,0.002364744
ma-648afc,NaBr,0.002451922
ma-e26603,NaI,0.002460637
ma-9dd559,NaI,0.002473101
ma-94d7ea,LiBr,0.002490516
ma-c6ae14,LiBr,0.0025178
ma-89faa1,NaI,0.002545036
ma-97e46f,LiBr,0.002547864
ma-2634a2,LiBr,0.002604393
ma-226e9c,NaI,0.002624176
ma-263b26,NaBr,0.002654681
ma-3f96be,NaI,0.002742455
ma-d6d03e,LiBr,0.002779577
ma-a36e4a,NaI,0.002786396
ma-cecf8e,KI,0.002818935
ma-003938,LiBr,0.002820588
ma-8c7bd2,LiI,0.002822237
ma-e4ce92,KI,0.002827532
ma-cd2d3a,LiBr,0.002850612
ma-a6f9d5,NaI,0.002940426
ma-24014d,NaBr,0.002947536
ma-07da7b,NaCl,0.002963916
ma-50117b,NaI,0.002973636
ma-852d28,NaBr,0.002978178
ma-165b03,KI,0.002991941
ma-788373,LiBr,0.003002202
ma-89c9ab,NaI,0.003008548
