ma_id,Eh
ma-724984,-0.132275849
ma-66ef6d,-0.051926392
ma-56eae4,0.000196362
ma-694dc7,0.013570731
ma-c3b863,0.014462809
ma-d2352a,0.017973239
ma-f3fcaf,0.024189262
ma-1da25e,0.025040256
ma-d889e9,0.031693456
ma-a18fc2,0.032854451
ma-e7729b,0.033088363
ma-b530e2,0.033593739
ma-d250e1,0.034998361
ma-69b316,0.036914268
ma-e932ec,0.038310077
ma-e8f08e,0.041853429
ma-9cb016,0.045167577
ma-56cabb,0.046137814
ma-0d07eb,0.048683676
ma-7512d0,0.049926902
ma-34a3a9,0.050861078
ma-a9f4e0,0.050863525
ma-298875,0.053018032
ma-c4a7a5,0.053790335
ma-f9fbce,0.055242261
ma-d03eb0,0.055847595
ma-15804b,0.055887294
ma-9e4684,0.056674725
ma-06c285,0.059318723
ma-051408,0.059714832
ma-1edccd,0.059763228
ma-d3ddf8,0.060172493
ma-92b95b,0.060866336
ma-2f2c4f,0.061399174
ma-2900dc,0.061854248
ma-7193e9,0.062539494
ma-2358b9,0.062742995
ma-fa29ac,0.063249136
ma-772ea2,0.063419439
ma-02cb68,0.064899474
ma-7f2ac2,0.066715349
ma-f5aa70,0.06910536
ma-636f0a,0.07019753
ma-bef48d,0.071093532
ma-67ed4c,0.073120108
ma-6f15a0,0.074067463
ma-082b01,0.07518171
ma-ccab94,0.076262742
ma-040b33,0.078038596
ma-f64c17,0.078391533
ma-9fa271,0.078832299
ma-9a94fc,0.078927375
ma-dce362,0.079744491
ma-054552,0.079800707
ma-e0a342,0.079832287
ma-68a928,0.079836838
ma-5672ac,0.079994475
ma-72e712,0.080048721
ma-fa7092,0.080088146
ma-1ae21b,0.082391664
ma-bc9a29,0.083299657
ma-dd9c07,0.08452988
ma-54067b,0.084761379
ma-fb9320,0.085702788
ma-4e0690,0.085795851
ma-c6f554,0.085974184
ma-f74cc1,0.085979681
ma-8a6d15,0.086275209
ma-7948f9,0.086764377
ma-254028,0.087103013
ma-55a39c,0.089197465
ma-127de4,0.089826067
ma-01e933,0.090917558
ma-0e8344,0.090999696
ma-c571d7,0.091149606
ma-d6ce8c,0.092677197
ma-fdd253,0.093275835
ma-6c0d07,0.093430886
ma-524c36,0.094596034
ma-475c02,0.094645979
ma-ed8a2c,0.094772644
ma-8266f1,0.094912623
ma-7702d0,0.095158034
ma-e9754b,0.095183121
ma-81c789,0.097894977
ma-b64291,0.098227516
ma-3b6f9d,0.099218183
ma-88fadf,0.099504284
ma-2b2ef6,0.099665743
ma-0db2ce,0.10046175
ma-e1b565,0.100528732
ma-b99120,0.100597968
ma-2c2516,0.101039175
ma-fb5de1,0.101838794
ma-6c2fd2,0.102293105
ma-ece3b9,0.104414745
ma-6faf40,0.104654719
ma-c93e5d,0.104759078
ma-74c50b,0.105348044
ma-d51529,0.106227878
ma-94c8ba,0.106761636
ma-f202f5,0.107490727
ma-e8166e,0.108475093
ma-546ee4,0.108571297
ma-772357,0.108664483
ma-897fb1,0.10939206
ma-4edde0,0.110073664
ma-e7ddca,0.111018828
ma-e5e5b7,0.111216876
ma-33e87c,0.111725193
ma-60f5a3,0.112035901
ma-e8cd6e,0.113122102
ma-e2ff91,0.113373985
ma-24cd22,0.113455111
ma-4b8d25,0.114146795
ma-3e8060,0.114339725
ma-b47263,0.114542561
ma-bbded6,0.115841606
ma-a929a1,0.116412984
ma-1e96b7,0.11665606
ma-bd3f39,0.116924507
